SYMBOL,Z,N,A,EPorc,MAE,MSE
Ne,10,10,20,1.099760649994596,0.08833542803025374,0.007803147845288138
Ne,10,11,21,1.7928197936014454,0.14291845931001834,0.020425686011549368
Ne,10,12,22,2.1745574763522155,0.17571436882886893,0.030875539412927783
Ne,10,13,23,1.6583924617425365,0.1319293674747133,0.017405358002277938
Ne,10,14,24,1.0538546840386438,0.08423803203064129,0.007096046040395348
Ne,10,15,25,0.26081251120630694,0.020447177688676987,0.00041808707543232996
Ne,10,16,26,0.4061017836348973,0.031480648836789804,0.0009910312511852753
Ne,10,17,27,1.3905087140425032,0.10457202729766824,0.01093530889314427
Ne,10,18,28,1.6713930825021235,0.12348830896950158,0.015249362452147084
Ne,10,19,29,3.1788675477930557,0.22783157652818797,0.051907227263319575
Ne,10,20,30,3.9155094113654725,0.2754377507589876,0.07586595454317016
Ne,10,21,31,5.65847195932009,0.38551679853018506,0.1486232019489633
Na,11,6,17,10.449206986186423,0.5770851775582795,0.33302730215747095
Na,11,7,18,4.321705958114921,0.2680416075544523,0.07184630338037501
Na,11,8,19,0.39122456984550386,0.027142716224769714,0.0007367270440583771
Na,11,9,20,0.682524285703079,0.04981405410271922,0.0024814399861486374
Na,11,10,21,1.276601942799521,0.09913526557382557,0.009827800880392925
Na,11,11,22,0.8723895307704543,0.06905541006873328,0.00476864965976091
Na,11,12,23,1.3931730406105385,0.11300714202604922,0.012770614148895661
Na,11,13,24,1.1772501841287082,0.09492742968169665,0.009011216905973462
Na,11,14,25,1.568542199392976,0.12707384480223638,0.01614776203282286
Na,11,15,26,0.6115746072449364,0.048951662663569095,0.0023962652775278647
Na,11,16,27,0.7666680560660938,0.0610033685871052,0.0037214109789742134
Na,11,17,28,0.2511340200693529,0.0195866062235579,0.0003836351433567171
Na,11,18,29,0.038096863853759606,0.0029266590646725987,8.56533328083029e-06
Na,11,19,30,1.273092467371912,0.09550699587811362,0.009121586261662012
Na,11,20,31,1.7912445674567754,0.13252841415613048,0.017563780558738844
Na,11,21,32,3.368901619240452,0.24323070476074182,0.05916117573840716
