SYMBOL,Z,N,A,EPorc,MAE,MSE
Tm,69,99,168,0.5563036695835628,0.045123618434157464,0.002036140940591435
Tm,69,100,169,0.4934797777017099,0.040023192599040414,0.0016018559458198833
Tm,69,101,170,0.6611168882303728,0.05353389890653304,0.0028658783321348995
Tm,69,102,171,0.6251750854911418,0.050604143117944034,0.0025607793007013627
Tm,69,103,172,0.8171225666683635,0.06602008893655409,0.004358652143190512
Tm,69,104,173,0.8063731369172353,0.06511029895565201,0.00423935103009438
Tm,69,105,174,0.9854641219623946,0.07940755924876974,0.0063055604658468776
Tm,69,106,175,0.8986500563677822,0.07234927824937643,0.005234418063205693
Tm,69,107,176,0.9340499378130662,0.0750291602331341,0.005629374885289313
Yb,70,81,151,0.8958760126663518,0.07118098040065224,0.005066731970798038
Yb,70,82,152,0.7129015785143699,0.056856363274899735,0.003232646044847367
Yb,70,84,154,0.6542147852563703,0.052442535993995065,0.002750219581481468
Yb,70,85,155,0.6385671547748287,0.051259817294017296,0.0026275688690160347
Yb,70,86,156,0.35894055771198385,0.02889148102408079,0.0008347176757648203
Yb,70,87,157,0.3880031140133373,0.031260471717603266,0.0009772170920070737
Yb,70,88,158,0.15546936237415562,0.012553961255756363,0.00015760194321103187
Yb,70,89,159,0.2255772514179178,0.01822491811783422,0.00033214764040176203
Yb,70,90,160,0.036149331812398475,0.002925907893487789,8.560937001174151e-06
Yb,70,91,161,0.14394032648647534,0.011652315275192393,0.00013577645127248197
Yb,70,92,162,0.005771059231725544,0.000467846945026551,2.1888076397067662e-07
Yb,70,93,163,0.13696922322816776,0.011101663269784012,0.00012324692735567145
Yb,70,94,164,0.023859447572349653,0.0019359092458621774,3.7477446082146646e-06
Yb,70,95,165,0.19914542302231883,0.016149917460523966,0.0002608198339817369
Yb,70,96,166,0.11999376089784342,0.009738018618513422,9.482900661451405e-05
Yb,70,97,167,0.32561900381591463,0.026403755235246962,0.0006971582905228313
Yb,70,98,168,0.27798999794259255,0.022550687494247157,0.0005085335064631951
Yb,70,99,169,0.4048497589561816,0.03280547264336242,0.0010761990353544003
Yb,70,100,170,0.3227724380984695,0.026157459949024187,0.0006842127109848044
Yb,70,101,171,0.46789951406542235,0.03786688511952718,0.0014339009886554692
Yb,70,102,172,0.41021611863513946,0.03319303578836852,0.0011017776248479134
Yb,70,103,173,0.5793340424769423,0.046802038145131064,0.002190430774538303
Yb,70,104,174,0.5473578686568611,0.044200038949771425,0.001953643443161311
Yb,70,105,175,0.7397831105590298,0.05962901541648158,0.003555619479538998
Yb,70,106,176,0.7320035251720931,0.05896269860438075,0.0034765998267110433
Yb,70,107,177,0.9224934905994235,0.0741542735479328,0.005498856285421646
Yb,70,108,178,0.8374665488862734,0.0672594265869062,0.004523830464799425
Lu,71,82,153,0.9187430843763907,0.0727199439359758,0.005288190246051465
