EL,N,Z,A,BEA
Ga,44,31,75,8.6607565
Ga,45,31,76,8.6245272
Ga,46,31,77,8.6133907
Ga,47,31,78,8.5771043
Ga,48,31,79,8.5560725
Ga,49,31,80,8.5084545
Ga,50,31,81,8.4833576
Ga,51,31,82,8.4210494
Ga,52,31,83,8.3725756
Ga,53,31,84,8.307525
Ga,54,31,85,8.2535687
Ge,31,32,63,8.4187167
Ge,32,32,64,8.5288243
Ge,33,32,65,8.5550584
Ge,34,32,66,8.6254383
Ge,35,32,67,8.6330884
Ge,36,32,68,8.6881371
Ge,37,32,69,8.680964
Ge,38,32,70,8.7217028
Ge,39,32,71,8.7033118
Ge,40,32,72,8.7317459
Ge,41,32,73,8.70505
Ge,42,32,74,8.7252011
Ge,43,32,75,8.6956096
Ge,44,32,76,8.7052364
Ge,45,32,77,8.6710293
Ge,46,32,78,8.6716636
Ge,47,32,79,8.6345089
Ge,48,32,80,8.6275707
Ge,49,32,81,8.5806587
Ge,50,32,82,8.5637567
Ge,51,32,83,8.5043462
Ge,52,32,84,8.4655244
Ge,53,32,85,8.4017689
Ge,54,32,86,8.35463
As,32,33,65,8.3962351
As,33,33,66,8.4684034
As,34,33,67,8.5305685
As,35,33,68,8.5577457
As,36,33,69,8.6118214
As,37,33,70,8.6215541
As,38,33,71,8.663935
As,39,33,72,8.6603786
As,40,33,73,8.6896099
As,41,33,74,8.680002
As,42,33,75,8.7008748
As,43,33,76,8.6828172
As,44,33,77,8.6959789
As,45,33,78,8.673876
As,46,33,79,8.6766172
As,47,33,80,8.6512824
As,48,33,81,8.6480571
As,49,33,82,8.6114153
As,50,33,83,8.599654
As,51,33,84,8.5479385
As,52,33,85,8.5109851
As,53,33,86,8.4567215
As,54,33,87,8.4138521
Se,33,34,67,8.3695344
Se,34,34,68,8.4770482
Se,35,34,69,8.5037082
Se,36,34,70,8.5760338
Se,37,34,71,8.5860606
Se,38,34,72,8.6444902
Se,39,34,73,8.6415591
Se,40,34,74,8.6877155
Se,41,34,75,8.6789139
Se,42,34,76,8.7114781
Se,43,34,77,8.6946908
Se,44,34,78,8.7178072
Se,45,34,79,8.6955923
Se,46,34,80,8.7108142
Se,47,34,81,8.6859998
Se,48,34,82,8.6931973
Se,49,34,83,8.658556
Se,50,34,84,8.6587935
Se,51,34,85,8.6103045
Se,52,34,86,8.5818224
Se,53,34,87,8.529092
Se,54,34,88,8.4950045
Se,55,34,89,8.4352799
Se,56,34,90,8.3957672
Se,57,34,91,8.3348382
Br,34,35,69,8.3449026
Br,35,35,70,8.4147964
Br,36,35,71,8.4814629
Br,37,35,72,8.5113126
Br,38,35,73,8.5680803
Br,39,35,74,8.5835615
Br,40,35,75,8.6276497
Br,41,35,76,8.635883
Br,42,35,77,8.6668073
Br,43,35,78,8.6619594
Br,44,35,79,8.6875956
Br,45,35,80,8.6776541
Br,46,35,81,8.6959465
Br,47,35,82,8.6824953
Br,48,35,83,8.6933852
Br,49,35,84,8.6713294
Br,50,35,85,8.6735926
Br,51,35,86,8.6323659
Br,52,35,87,8.6059105
Br,53,35,88,8.5637479
Br,54,35,89,8.5307802
Br,55,35,90,8.4781865
Br,56,35,91,8.4419242
Br,57,35,92,8.3849123
Br,58,35,93,8.3455986
Kr,35,36,71,8.327131
